File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\BlockingCache.java,28,6,5,0,5,0,17,100,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\Cacheable.java,60,18,13,0,7,0,35,228,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CacheBeanPostProcessor.java,95,57,44,9,15,0,23,135,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CacheConfigArtefactHandler.java,84,37,25,2,12,0,35,145,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CacheConfiguration.java,26,5,4,0,4,0,17,100,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CacheEvict.java,73,20,15,0,9,0,44,293,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CachePut.java,60,18,13,0,7,0,35,246,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\CustomCacheKeyGenerator.java,120,90,56,24,10,0,20,142,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsAnnotationCacheOperationSource.java,282,158,116,39,43,0,81,513,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsCache.java,28,6,5,0,5,0,17,100,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsCacheManager.java,28,6,5,0,5,0,17,100,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsConcurrentMapCache.java,56,24,16,2,9,0,23,160,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsConcurrentMapCacheManager.java,62,32,24,7,10,0,20,109,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\GrailsValueWrapper.java,37,12,9,1,6,0,19,113,14,94
F:\workspace-ggts-3.6.4.RELEASE\MoneytorBeta\target\work\plugins\cache-1.1.8\src\java\grails\plugin\cache\SerializableByteArrayOutputStream.java,110,70,47,10,19,0,21,120,14,94
