Word,Count
*,1288
the,604
License,230
,192
under,139
to,132
is,129
in,124
for,121
a,121
of,111
or,109
may,95
distributed,92
not,80
and,77
on,75
@param,75
@author,72
this,69
with,67
an,63
by,61
at,51
method,50
use,50
specific,49
See,48
required,48
copy,48
you,47
2.0,47
applicable,47
either,47
(the,47
agreed,46
WARRANTIES,46
CONDITIONS,46
http://www.apache.org/licenses/LICENSE-2.0,46
language,46
software,46
except,46
\"\License"\);\,46
Copyright,46
limitations,46
permissions,46
ANY,46
\BASIS,\,46
You,46
obtain,46
Unless,46
OF,46
WITHOUT,46
compliance,46
\KIND,\,46
governing,46
law,46
Licensed,46
Apache,46
\IS"\\,46
Version,46
OR,46
express,46
\writing,\,46
\"\AS\,46
file,46
\License,\,46
implied,46
SpringSource,45
be,41
The,41
class,39
2012-2013,37
if,35
cache,34
Beckwith,33
Burt,33
key,28
@return,26
{@link,24
response,23
are,19
domain,18
that,18
it,17
Based,17
will,17
|,17
as,17
<p/>,17
from,16
target,15
cached,15
value,15
true,14
implementation,14
views,13
used,13
A,13
request,13
controller,13
should,12
name,12
attribute,12
all,12
Generates,11
gzipped,11
methods,11
TODO,11
specified,11
If,11
set,11
Spring,11
which,10
only,10
one,10
page,10
header,10
domainClass,10
when,10
This,10
generate,10
view,10
caching,9
content,9
instance,9
(or,9
destDir,8
time,8
Dependency,8
bean,8
never,8
no,8
injection,8
=,8
destination,8
null,8
date,8
headers,8
there,8
code,8
body,8
GZIP,7
Luck,7
@since,7
we,7
Greg,7
same,7
meaning,7
need,7
object,7
ungzipped,6
error,6
include,6
into,6
-,6
new,6
Returns,6
Language,6
<p>Default,6
\"\"\,\,6
parameters,6
Expression,6
@see,6
return,6
disabled,6
parameter,6
Graeme,6
so,6
Leau,6
PageInfo,6
can,6
Rocher,6
Costin,6
@throws,6
{@code,6
(SpEL),6
default,5
has,5
Default,5
RFC,5
supplied,5
null}),5
Header,5
2004-2013,5
uses,5
Rob,5
most,5
add,5
buffer,5
Brown,5
but,5
does,5
IOException,5
SP,5
operation,5
type,5
status,5
Jeff,5
accepts,5
Fletcher,5
year,5
update,5
always,5
directory,5
suitable,5
encoding,5
\header,\,4
caches,4
different,4
DomainClass,4
considered,4
result,4
returned,4
sent,4
two,4
0,4
occur,4
property,4
otherwise,4
held,4
2DIGIT,4
3.3.1,4
It,4
where,4
work,4
Whether,4
version,4
its,4
found,4
scaffolded,4
bytes,4
than,4
server,4
computing,4
accordance,4
whether,4
flushing,4
Name,4
manager,4
class),4
Section,4
port,4
out,4
original,4
means,4
2616,4
reponse's,4
generator,4
wrapped,4
Value,3
package-scope,3
first,3
classes,3
cookies,3
TTL,3
month,3
needed,3
qualifier,3
native,3
stub,3
lazy,3
\Also,\,3
check,3
was,3
dynamically,3
cacheable,3
client,3
eternal,3
Hoeller,3
@Override,3
matching,3
\caches),\,3
test,3
send,3
do,3
SimpleKey},3
For,3
before,3
non,3
requests,3
logic,3
@Lazy,3
wrapper,3
In-memory-based,3
NO_FILTER,3
since,3
takes,3
(a),3
definition,3
As,3
\ok,\,3
string,3
conditioning,3
(never,3
make,3
ttl,3
args,3
invoked,3
invocation,3
isn't,3
gzip,3
Page,3
determine,3
then,3
